City,Country
Albertville, France
Athens, Greece
Atlanta, United States
Barcelona, Spain
Beijing, China
Calgary, Canada
Cortina d'Ampezzo, Italy
Grenoble, France
Helsinki, Finland
Innsbruck, Austria
Lake Placid, United States
Lillehammer, Norway
London, United Kingdom
Los Angeles, United States
Melbourne, Australia
Mexico City, Mexico
Montreal, Canada
Moscow, Soviet Union
Munich, West Germany
Nagano, Japan
Oslo, Norway
Rio de Janeiro, Brazil
Rome, Italy
Salt Lake City, United States
Sapporo, Japan
Sarajevo, Yugoslavia
Seoul, South Korea
Sochi, Russia
Squaw Valley, United States
Stockholm, Sweden
Sydney, Australia
Tokyo, Japan
Turin, Italy
Vancouver, Canada
